Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US36013,"Chautauqua County, New York",122500,6761
0500000US36015,"Chemung County, New York",130700,15720
0500000US36019,"Clinton County, New York",184800,13686
0500000US36027,"Dutchess County, New York",374800,7837
0500000US36029,"Erie County, New York",225600,4866
0500000US36045,"Jefferson County, New York",177700,12699
0500000US36047,"Kings County, New York",849900,14260
0500000US36053,"Madison County, New York",163900,7562
0500000US36055,"Monroe County, New York",200100,4521
0500000US36059,"Nassau County, New York",654600,5425
0500000US36061,"New York County, New York",1006100,68148
0500000US36063,"Niagara County, New York",193800,10348
0500000US36065,"Oneida County, New York",167900,5552
0500000US36067,"Onondaga County, New York",182300,5720
0500000US36069,"Ontario County, New York",211000,12624
0500000US36071,"Orange County, New York",371600,8481
0500000US36075,"Oswego County, New York",139800,9430
0500000US36079,"Putnam County, New York",436500,16203
0500000US36081,"Queens County, New York",683600,9900
0500000US36083,"Rensselaer County, New York",248200,10919
0500000US36085,"Richmond County, New York",632900,12648
0500000US36087,"Rockland County, New York",552500,16504
0500000US36089,"St. Lawrence County, New York",122000,8807
0500000US36091,"Saratoga County, New York",340900,11170
0500000US36093,"Schenectady County, New York",223600,7760
0500000US36101,"Steuben County, New York",124100,8863
0500000US36103,"Suffolk County, New York",545700,7811
0500000US36105,"Sullivan County, New York",274800,31290
0500000US36109,"Tompkins County, New York",283000,14852
0500000US36111,"Ulster County, New York",337100,12747
0500000US36113,"Warren County, New York",258300,17196
0500000US36117,"Wayne County, New York",164700,8505
0500000US36119,"Westchester County, New York",634800,11365
0500000US37001,"Alamance County, North Carolina",231800,11958
0500000US37019,"Brunswick County, North Carolina",339400,14369
0500000US37021,"Buncombe County, North Carolina",373200,12009
0500000US37023,"Burke County, North Carolina",197300,22739
0500000US37025,"Cabarrus County, North Carolina",354600,13907
0500000US37027,"Caldwell County, North Carolina",189700,21014
0500000US37031,"Carteret County, North Carolina",308800,24076
0500000US37035,"Catawba County, North Carolina",235100,12940
0500000US37037,"Chatham County, North Carolina",396700,53871
0500000US37045,"Cleveland County, North Carolina",191300,16198
0500000US37049,"Craven County, North Carolina",211500,15699
0500000US37051,"Cumberland County, North Carolina",190100,7341
0500000US37057,"Davidson County, North Carolina",219400,12049
0500000US37063,"Durham County, North Carolina",377600,14232
0500000US37067,"Forsyth County, North Carolina",251200,8544
0500000US37069,"Franklin County, North Carolina",267900,23493
0500000US37071,"Gaston County, North Carolina",261000,9706
0500000US37081,"Guilford County, North Carolina",246500,8988
0500000US37085,"Harnett County, North Carolina",243600,14486
0500000US37089,"Henderson County, North Carolina",333000,18531
0500000US37097,"Iredell County, North Carolina",331800,14906
0500000US37101,"Johnston County, North Carolina",289600,11674
0500000US37105,"Lee County, North Carolina",255800,16790
0500000US37109,"Lincoln County, North Carolina",276100,21881
0500000US37119,"Mecklenburg County, North Carolina",402800,9200
0500000US37125,"Moore County, North Carolina",338800,22806
0500000US37127,"Nash County, North Carolina",186800,17315
0500000US37129,"New Hanover County, North Carolina",368600,15050
0500000US37133,"Onslow County, North Carolina",228200,9324
0500000US37135,"Orange County, North Carolina",444900,21066
0500000US37141,"Pender County, North Carolina",316900,26098
0500000US37147,"Pitt County, North Carolina",221700,9663
0500000US37151,"Randolph County, North Carolina",173300,7188
0500000US37155,"Robeson County, North Carolina",83500,5360
0500000US37157,"Rockingham County, North Carolina",152600,12423
0500000US37159,"Rowan County, North Carolina",214100,13909
0500000US37171,"Surry County, North Carolina",170200,13796
0500000US37179,"Union County, North Carolina",409300,19867
0500000US37183,"Wake County, North Carolina",470300,7560
0500000US37191,"Wayne County, North Carolina",166400,12007
0500000US37193,"Wilkes County, North Carolina",151300,21667
0500000US37195,"Wilson County, North Carolina",187600,16095
0500000US38015,"Burleigh County, North Dakota",326300,16483
0500000US38017,"Cass County, North Dakota",278400,11756
0500000US38035,"Grand Forks County, North Dakota",243300,14996
0500000US38101,"Ward County, North Dakota",241500,17149
0500000US39003,"Allen County, Ohio",158700,5624
0500000US39007,"Ashtabula County, Ohio",147100,12920
0500000US39013,"Belmont County, Ohio",133800,15198
0500000US39017,"Butler County, Ohio",267600,9276
